Country,Mentions
Germany,31
Japan,26
United States,21
France,14
Poland,12
China,9
Korea,8
Italy,8
Russia,7
Vietnam,7
India,6
Libya,3
Philippines,3
Lithuania,3
Norway,3
Guinea,3
Greece,3
Austria,3
Cuba,3
Romania,2
Bangladesh,2
Australia,2
Pakistan,2
Solomon Islands,2
South Africa,2
Netherlands,2
Ukraine,2
United Kingdom,2
Latvia,2
Canada,2
Albania,2
Iran,2
Estonia,2
Hungary,2
Egypt,2
Denmark,2
Finland,2
Belgium,2
Congo,2
Cambodia,2
Israel,2
Sweden,1
Thailand,1
Singapore,1
Seychelles,1
Rwanda,1
Angola,1
Spain,1
Belarus,1
Bulgaria,1
Algeria,1
Ghana,1
Guinea-Bissau,1
Mozambique,1
Morocco,1
Mongolia,1
Mexico,1
Luxembourg,1
Cape Verde,1
Iraq,1
Laos,1
Kenya,1
Panama,1
